customer_id,customer_name,region,product_category,order_amount_pkr,quantity,order_date_range,order_amount_pkr_normalized,quantity_normalized,start_date,end_date,duration_days
1001,Customer_0,North,Apparel,26326.46,9.0,2023-04-09 - 2023-04-17,0.5208438002424304,0.42105263157894735,2023-04-09,2023-04-17,8
1002,Unknown,South,Grocery,30987.66,12.0,2023-03-12 - 2023-03-17,0.6153109692937114,0.5789473684210527,2023-03-12,2023-03-17,5
1003,Customer_2,South,Electronics,38844.75,8.0,2023-02-09 - 2023-02-19,0.7745483007279192,0.3684210526315789,2023-02-09,2023-02-19,10
1004,Customer_3,West,Furniture,41373.86,20.0,2023-02-21 - 2023-03-10,0.8258050290209094,1.0,2023-02-21,2023-03-10,17
1005,Customer_4,West,Electronics,16454.08,18.0,2023-10-04 - 2023-10-31,0.3207631792867782,0.8947368421052632,2023-10-04,2023-10-31,27
1006,Customer_5,West,Apparel,46763.78,20.0,2023-09-27 - 2023-09-29,0.9350409519190646,1.0,2023-09-27,2023-09-29,2
1007,Customer_6,South,Grocery,22814.7,3.0,2023-06-22 - 2023-07-21,0.4496719935000622,0.10526315789473684,2023-06-22,2023-07-21,29
1008,Customer_7,West,Furniture,28707.56,15.0,2023-03-09 - 2023-03-29,0.5691008534107144,0.7368421052631579,2023-03-09,2023-03-29,20
1009,Customer_8,North,Electronics,17151.63,10.0,2023-07-12 - 2023-07-17,0.33490021991402463,0.47368421052631576,2023-07-12,2023-07-17,5
1010,Unknown,South,Grocery,16588.2,4.0,2023-03-25 - 2023-03-31,0.3234813498679929,0.15789473684210525,2023-03-25,2023-03-31,6
1011,Customer_10,West,Grocery,18063.84,2.0,2023-03-26 - 2023-04-19,0.3533877116072086,0.05263157894736842,2023-03-26,2023-04-19,24
1012,Customer_11,North,Electronics,14343.1,16.0,2023-08-13 - 2023-08-15,0.277980568687818,0.7894736842105263,2023-08-13,2023-08-15,2
1013,Unknown,West,Grocery,44065.31,8.0,2023-07-30 - 2023-08-11,0.8803518543326467,0.3684210526315789,2023-07-30,2023-08-11,12
1014,Customer_13,East,Grocery,26073.05,5.0,2023-05-02 - 2023-05-17,0.5157080143269397,0.21052631578947367,2023-05-02,2023-05-17,15
1015,Customer_14,West,Furniture,12447.12,12.0,2023-05-26 - 2023-06-20,0.2395552998347656,0.5789473684210527,2023-05-26,2023-06-20,25
1016,Customer_15,East,Grocery,27981.22,18.0,2023-08-18 - 2023-08-26,0.5543803343236322,0.8947368421052632,2023-08-18,2023-08-26,8
1017,Customer_16,West,Furniture,24066.61,5.0,2023-10-01 - 2023-10-09,0.4750440851517805,0.21052631578947367,2023-10-01,2023-10-09,8
1018,Customer_17,Unknown,Grocery,22684.64,4.0,2023-06-08 - 2023-07-04,0.44703610574437486,0.15789473684210525,2023-06-08,2023-07-04,26
1019,Customer_18,West,Apparel,24518.565000000002,20.0,2023-08-29 - 2023-09-27,0.48420372416932356,1.0,2023-08-29,2023-09-27,29
1020,Unknown,South,Apparel,20517.86,9.0,2023-04-10 - 2023-04-22,0.40312261296205815,0.42105263157894735,2023-04-10,2023-04-22,12
